,time_start,time_peak,time_end,nar,xray_class,is_coincident
1519,2014-03-02 03:27:00,2014-03-02 03:53:00,2014-03-02 04:18:00,11982,C,False
1521,2014-05-28 02:07:00,2014-05-28 02:21:00,2014-05-28 02:33:00,12065,C,False
1522,2014-12-14 23:07:00,2014-12-14 23:34:00,2014-12-14 23:44:00,12241,C,False
1523,2014-12-24 02:30:00,2014-12-24 02:37:00,2014-12-24 02:43:00,12241,C,False
1532,2014-03-23 18:37:00,2014-03-23 18:41:00,2014-03-23 18:45:00,12017,C,False
1533,2014-03-30 21:10:00,2014-03-30 21:15:00,2014-03-30 21:17:00,12017,C,False
1534,2014-03-31 22:45:00,2014-03-31 22:49:00,2014-03-31 22:56:00,12017,C,False
1535,2014-05-05 23:05:00,2014-05-05 23:10:00,2014-05-05 23:17:00,12056,C,False
1536,2014-05-09 00:48:00,2014-05-09 00:55:00,2014-05-09 01:03:00,12056,C,False
1537,2014-05-12 01:33:00,2014-05-12 01:51:00,2014-05-12 02:09:00,12056,C,False
1538,2014-05-14 12:59:00,2014-05-14 15:04:00,2014-05-14 15:28:00,12056,C,False
1539,2014-05-16 13:26:00,2014-05-16 13:31:00,2014-05-16 13:37:00,12056,C,False
1540,2014-05-18 06:11:00,2014-05-18 06:54:00,2014-05-18 08:59:00,12056,C,False
1541,2014-08-22 15:40:00,2014-08-22 15:52:00,2014-08-22 16:02:00,12146,C,False
1542,2014-08-24 00:08:00,2014-08-24 00:16:00,2014-08-24 00:27:00,12146,C,False
1543,2014-08-29 15:43:00,2014-08-29 15:52:00,2014-08-29 16:02:00,12146,C,False
1575,2014-03-01 04:33:00,2014-03-01 04:36:00,2014-03-01 04:38:00,11991,C,False
1576,2014-03-08 05:41:00,2014-03-08 05:44:00,2014-03-08 05:47:00,11991,C,False
1577,2014-05-07 19:12:00,2014-05-07 19:22:00,2014-05-07 19:39:00,12051,C,False
1601,2014-03-05 17:32:00,2014-03-05 17:40:00,2014-03-05 17:50:00,11996,C,False
1602,2014-03-14 08:32:00,2014-03-14 10:21:00,2014-03-14 10:42:00,11996,C,False
1603,2014-06-18 06:04:00,2014-06-18 06:14:00,2014-06-18 06:26:00,12093,C,False
1604,2014-06-23 14:14:00,2014-06-23 14:44:00,2014-06-23 14:48:00,12093,C,False
1605,2014-06-26 09:10:00,2014-06-26 09:18:00,2014-06-26 09:30:00,12096,C,False
1606,2014-06-29 21:48:00,2014-06-29 21:52:00,2014-06-29 21:59:00,12096,C,False
1607,2014-10-31 09:19:00,2014-10-31 09:23:00,2014-10-31 09:27:00,12201,C,False
1608,2014-11-03 18:14:00,2014-11-03 18:22:00,2014-11-03 18:27:00,12201,C,False
1609,2014-11-07 13:19:00,2014-11-07 13:24:00,2014-11-07 13:31:00,12201,C,False
1610,2014-11-08 18:53:00,2014-11-08 18:59:00,2014-11-08 19:03:00,12201,C,False
1634,2014-08-30 14:22:00,2014-08-30 14:25:00,2014-08-30 14:29:00,12152,C,False
1635,2014-09-02 13:10:00,2014-09-02 13:15:00,2014-09-02 13:23:00,12152,C,False
1636,2014-09-04 13:10:00,2014-09-04 13:30:00,2014-09-04 13:45:00,12152,C,False
1637,2014-09-06 12:21:00,2014-09-06 12:24:00,2014-09-06 12:27:00,12152,C,False
1655,2014-07-30 02:43:00,2014-07-30 02:46:00,2014-07-30 02:50:00,12130,C,False
1656,2014-08-02 00:00:00,2014-08-02 00:05:00,2014-08-02 00:09:00,12130,C,False
1657,2014-08-04 17:14:00,2014-08-04 17:21:00,2014-08-04 17:31:00,12130,C,False
1658,2014-08-07 05:49:00,2014-08-07 05:52:00,2014-08-07 05:54:00,12130,C,False
1659,2014-08-01 00:12:00,2014-08-01 00:18:00,2014-08-01 00:32:00,12132,C,False
1660,2014-08-03 06:13:00,2014-08-03 06:16:00,2014-08-03 06:23:00,12132,C,False
1661,2014-08-08 13:59:00,2014-08-08 14:10:00,2014-08-08 14:18:00,12132,C,False
1662,2014-08-11 08:59:00,2014-08-11 09:09:00,2014-08-11 09:15:00,12132,C,False
1663,2014-10-09 18:19:00,2014-10-09 18:23:00,2014-10-09 18:31:00,12182,C,False
1687,2014-11-22 00:01:00,2014-11-22 00:21:00,2014-11-22 00:50:00,12217,C,False
1688,2014-11-26 06:09:00,2014-11-26 06:17:00,2014-11-26 06:24:00,12217,C,False
1689,2014-12-01 05:11:00,2014-12-01 05:18:00,2014-12-01 05:22:00,12217,C,False
1690,2014-12-03 02:30:00,2014-12-03 02:34:00,2014-12-03 02:37:00,12217,C,False
1691,2014-12-10 02:03:00,2014-12-10 02:13:00,2014-12-10 02:21:00,12230,C,False
1692,2014-12-12 03:02:00,2014-12-12 03:06:00,2014-12-12 03:10:00,12230,C,False
1716,2014-06-09 12:24:00,2014-06-09 12:29:00,2014-06-09 12:33:00,12085,C,False
1717,2014-06-10 16:35:00,2014-06-10 16:38:00,2014-06-10 16:42:00,12085,C,False
1718,2014-06-14 03:45:00,2014-06-14 03:48:00,2014-06-14 03:50:00,12085,C,False
1719,2014-06-16 01:33:00,2014-06-16 02:15:00,2014-06-16 03:01:00,12085,C,False
1720,2014-09-12 08:24:00,2014-09-12 09:55:00,2014-09-12 10:43:00,12158,C,False
1721,2014-09-13 23:16:00,2014-09-13 23:19:00,2014-09-13 23:23:00,12158,C,False
1722,2014-09-17 19:26:00,2014-09-17 19:48:00,2014-09-17 20:13:00,12158,C,False
1723,2014-09-18 21:11:00,2014-09-18 21:19:00,2014-09-18 21:30:00,12158,C,False
1743,2014-08-18 16:47:00,2014-08-18 16:56:00,2014-08-18 17:05:00,12139,C,False
1744,2014-11-18 20:25:00,2014-11-18 21:15:00,2014-11-18 22:05:00,12216,C,False
1745,2014-11-22 14:21:00,2014-11-22 14:41:00,2014-11-22 15:07:00,12216,C,False
1746,2014-11-24 01:30:00,2014-11-24 01:37:00,2014-11-24 02:27:00,12216,C,False
1747,2014-11-27 05:47:00,2014-11-27 05:53:00,2014-11-27 06:02:00,12216,C,False
1748,2014-12-01 08:32:00,2014-12-01 08:36:00,2014-12-01 08:39:00,12216,C,False
1763,2014-06-11 16:23:00,2014-06-11 16:28:00,2014-06-11 16:31:00,12089,C,False
1764,2014-06-13 06:43:00,2014-06-13 06:47:00,2014-06-13 06:51:00,12089,C,False
1765,2014-06-14 17:39:00,2014-06-14 17:47:00,2014-06-14 17:54:00,12089,C,False
1766,2014-06-17 13:13:00,2014-06-17 13:19:00,2014-06-17 13:24:00,12089,C,False
1767,2014-06-18 15:40:00,2014-06-18 15:47:00,2014-06-18 15:54:00,12089,C,False
1768,2014-07-01 03:51:00,2014-07-01 03:55:00,2014-07-01 04:00:00,12104,C,False
1769,2014-07-05 05:12:00,2014-07-05 05:17:00,2014-07-05 05:24:00,12104,C,False
1770,2014-07-09 18:35:00,2014-07-09 18:39:00,2014-07-09 18:44:00,12104,C,False
1771,2014-07-04 05:34:00,2014-07-04 05:37:00,2014-07-04 05:42:00,12109,C,False
1772,2014-07-07 07:58:00,2014-07-07 08:02:00,2014-07-07 08:04:00,12109,C,False
1773,2014-07-09 04:05:00,2014-07-09 04:09:00,2014-07-09 04:12:00,12109,C,False
1774,2014-07-11 00:39:00,2014-07-11 00:44:00,2014-07-11 00:48:00,12109,C,False
1775,2014-07-12 07:10:00,2014-07-12 07:14:00,2014-07-12 07:17:00,12109,C,False
1776,2014-07-15 02:59:00,2014-07-15 03:05:00,2014-07-15 03:10:00,12109,C,False
1821,2014-04-09 23:43:00,2014-04-10 00:13:00,2014-04-10 00:24:00,12030,C,False
1822,2014-04-20 04:21:00,2014-04-20 04:27:00,2014-04-20 04:41:00,12038,C,False
1823,2014-04-23 00:48:00,2014-04-23 01:04:00,2014-04-23 01:19:00,12038,C,False
1824,2014-04-26 14:47:00,2014-04-26 14:59:00,2014-04-26 15:07:00,12038,C,False
1825,2014-09-30 04:10:00,2014-09-30 04:44:00,2014-09-30 05:10:00,12173,C,False
1826,2014-10-03 06:36:00,2014-10-03 06:48:00,2014-10-03 07:14:00,12173,C,False
1847,2014-05-14 03:25:00,2014-05-14 03:35:00,2014-05-14 03:51:00,12060,C,False
1848,2014-05-15 20:58:00,2014-05-15 21:08:00,2014-05-15 21:12:00,12060,C,False
1849,2014-05-20 01:11:00,2014-05-20 01:48:00,2014-05-20 02:37:00,12060,C,False
1850,2014-07-01 08:57:00,2014-07-01 09:11:00,2014-07-01 09:31:00,12108,C,False
1851,2014-07-05 05:51:00,2014-07-05 05:54:00,2014-07-05 05:59:00,12108,C,False
1852,2014-07-06 20:03:00,2014-07-06 20:06:00,2014-07-06 20:11:00,12108,C,False
1853,2014-07-07 23:20:00,2014-07-07 23:25:00,2014-07-07 23:38:00,12108,C,False
1854,2014-07-10 17:38:00,2014-07-10 17:42:00,2014-07-10 17:47:00,12108,C,False
1855,2014-07-13 14:31:00,2014-07-13 14:38:00,2014-07-13 14:42:00,12108,C,False
1856,2014-07-09 05:29:00,2014-07-09 05:46:00,2014-07-09 06:12:00,12113,C,False
1857,2014-07-10 21:00:00,2014-07-10 21:13:00,2014-07-10 21:37:00,12113,C,False
1858,2014-07-11 23:05:00,2014-07-11 23:13:00,2014-07-11 23:31:00,12113,C,False
1859,2014-07-13 09:50:00,2014-07-13 09:51:00,2014-07-13 09:52:00,12113,C,False
1860,2014-12-26 11:34:00,2014-12-26 11:38:00,2014-12-26 11:44:00,12248,C,False
1861,2014-12-29 10:34:00,2014-12-29 10:39:00,2014-12-29 10:43:00,12248,C,False
1863,2014-12-27 06:00:00,2014-12-27 06:11:00,2014-12-27 06:23:00,12249,C,False
1910,2014-02-08 21:29:00,2014-02-08 21:32:00,2014-02-08 21:34:00,11976,C,False
1911,2014-02-22 02:37:00,2014-02-22 02:49:00,2014-02-22 02:55:00,11976,C,False
1912,2014-05-02 14:03:00,2014-05-02 14:13:00,2014-05-02 14:29:00,12047,C,False
1913,2014-05-03 23:27:00,2014-05-03 23:54:00,2014-05-04 00:30:00,12047,C,False
1914,2014-06-11 12:45:00,2014-06-11 12:48:00,2014-06-11 12:50:00,12080,C,False
1915,2014-06-12 13:14:00,2014-06-12 13:20:00,2014-06-12 13:28:00,12080,C,False
1916,2014-06-13 16:15:00,2014-06-13 16:19:00,2014-06-13 16:22:00,12080,C,False
1917,2014-06-14 23:06:00,2014-06-14 23:10:00,2014-06-14 23:21:00,12080,C,False
1918,2014-09-20 17:08:00,2014-09-20 17:14:00,2014-09-20 17:23:00,12172,C,False
1919,2014-09-28 10:55:00,2014-09-28 10:59:00,2014-09-28 11:02:00,12172,C,False
1920,2014-10-01 02:40:00,2014-10-01 03:06:00,2014-10-01 03:48:00,12172,C,False
1921,2014-10-03 22:07:00,2014-10-03 22:15:00,2014-10-03 22:20:00,12172,C,False
1922,2014-11-10 10:17:00,2014-11-10 10:21:00,2014-11-10 10:47:00,12208,C,False
1923,2014-11-14 20:03:00,2014-11-14 20:11:00,2014-11-14 20:21:00,12208,C,False
1924,2014-11-19 21:47:00,2014-11-19 21:50:00,2014-11-19 21:52:00,12208,C,False
1953,2014-02-13 07:04:00,2014-02-13 07:10:00,2014-02-13 07:30:00,11977,C,False
1954,2014-02-17 21:07:00,2014-02-17 21:12:00,2014-02-17 21:20:00,11977,C,False
1955,2014-02-27 09:00:00,2014-02-27 09:56:00,2014-02-27 10:00:00,11990,C,False
1956,2014-03-02 12:45:00,2014-03-02 12:53:00,2014-03-02 13:13:00,11990,C,False
1957,2014-03-05 23:05:00,2014-03-05 23:09:00,2014-03-05 23:15:00,11990,C,False
1958,2014-03-16 06:37:00,2014-03-16 06:45:00,2014-03-16 06:52:00,12003,C,False
1959,2014-04-16 08:12:00,2014-04-16 08:16:00,2014-04-16 08:20:00,12034,C,False
1960,2014-04-21 00:56:00,2014-04-21 01:08:00,2014-04-21 01:53:00,12034,C,False
1961,2014-04-23 08:37:00,2014-04-23 08:45:00,2014-04-23 08:59:00,12034,C,False
1962,2014-05-09 14:50:00,2014-05-09 15:01:00,2014-05-09 15:22:00,12058,C,False
1963,2014-05-11 04:33:00,2014-05-11 04:43:00,2014-05-11 04:49:00,12058,C,False
1964,2014-05-15 02:31:00,2014-05-15 02:56:00,2014-05-15 03:18:00,12058,C,False
1965,2014-05-15 05:26:00,2014-05-15 05:34:00,2014-05-15 05:41:00,12063,C,False
1966,2014-05-16 20:11:00,2014-05-16 20:16:00,2014-05-16 20:24:00,12063,C,False
1967,2014-05-18 02:33:00,2014-05-18 02:39:00,2014-05-18 02:45:00,12063,C,False
1968,2014-07-25 06:57:00,2014-07-25 07:02:00,2014-07-25 07:07:00,12121,C,False
1992,2014-08-09 08:57:00,2014-08-09 09:01:00,2014-08-09 09:03:00,12135,C,False
1993,2014-08-21 23:54:00,2014-08-22 00:06:00,2014-08-22 00:10:00,12148,C,False
1994,2014-08-23 07:04:00,2014-08-23 07:47:00,2014-08-23 07:56:00,12148,C,False
1995,2014-08-29 17:59:00,2014-08-29 18:08:00,2014-08-29 18:16:00,12148,C,False
1996,2014-09-17 21:10:00,2014-09-17 21:39:00,2014-09-17 21:48:00,12164,C,False
1997,2014-09-19 17:01:00,2014-09-19 17:06:00,2014-09-19 17:09:00,12164,C,False
2043,2014-02-10 19:14:00,2014-02-10 19:17:00,2014-02-10 19:19:00,11973,C,False
2044,2014-02-12 12:29:00,2014-02-12 12:34:00,2014-02-12 12:39:00,11973,C,False
2045,2014-02-16 05:26:00,2014-02-16 05:43:00,2014-02-16 05:55:00,11973,C,False
2046,2014-02-25 15:04:00,2014-02-25 15:10:00,2014-02-25 15:18:00,11986,C,False
2047,2014-02-27 00:23:00,2014-02-27 00:53:00,2014-02-27 01:11:00,11986,C,False
2048,2014-03-03 19:15:00,2014-03-03 19:22:00,2014-03-03 19:32:00,11986,C,False
2049,2014-02-23 10:26:00,2014-02-23 10:31:00,2014-02-23 10:37:00,11989,C,False
2050,2014-02-25 04:27:00,2014-02-25 04:32:00,2014-02-25 04:36:00,11989,C,False
2051,2014-04-02 23:48:00,2014-04-02 23:51:00,2014-04-02 23:53:00,12027,C,False
2052,2014-04-04 13:34:00,2014-04-04 13:48:00,2014-04-04 13:56:00,12027,C,False
2053,2014-07-27 13:56:00,2014-07-27 14:18:00,2014-07-27 14:26:00,12127,C,False
2054,2014-07-31 02:04:00,2014-07-31 02:08:00,2014-07-31 02:10:00,12127,C,False
2055,2014-11-26 00:30:00,2014-11-26 00:34:00,2014-11-26 00:36:00,12219,C,False
2056,2014-11-29 13:21:00,2014-11-29 13:49:00,2014-11-29 14:18:00,12219,C,False
2103,2014-05-04 15:54:00,2014-05-04 16:01:00,2014-05-04 16:04:00,12049,C,False
2104,2014-05-11 09:16:00,2014-05-11 09:20:00,2014-05-11 09:22:00,12055,C,False
2105,2014-05-19 20:37:00,2014-05-19 21:10:00,2014-05-19 21:27:00,12071,C,False
2106,2014-05-21 00:59:00,2014-05-21 01:38:00,2014-05-21 02:06:00,12071,C,False
2107,2014-05-22 22:14:00,2014-05-22 22:19:00,2014-05-22 22:23:00,12071,C,False
2108,2014-05-27 18:40:00,2014-05-27 18:51:00,2014-05-27 19:17:00,12071,C,False
2109,2014-05-29 04:21:00,2014-05-29 04:30:00,2014-05-29 04:40:00,12071,C,False
2110,2014-06-29 15:06:00,2014-06-29 15:09:00,2014-06-29 15:15:00,12107,C,False
2111,2014-07-01 07:16:00,2014-07-01 07:37:00,2014-07-01 08:05:00,12107,C,False
2112,2014-07-03 06:55:00,2014-07-03 07:00:00,2014-07-03 07:08:00,12107,C,False
2113,2014-07-05 08:28:00,2014-07-05 08:37:00,2014-07-05 08:43:00,12107,C,False
2114,2014-07-06 20:48:00,2014-07-06 20:52:00,2014-07-06 20:56:00,12107,C,False
2115,2014-07-08 21:32:00,2014-07-08 21:36:00,2014-07-08 21:39:00,12107,C,False
2116,2014-07-27 05:46:00,2014-07-27 05:51:00,2014-07-27 05:54:00,12125,C,False
2117,2014-07-28 13:56:00,2014-07-28 14:10:00,2014-07-28 14:33:00,12125,C,False
2118,2014-07-30 00:42:00,2014-07-30 00:46:00,2014-07-30 00:49:00,12125,C,False
2119,2014-11-10 00:26:00,2014-11-10 00:34:00,2014-11-10 00:39:00,12203,C,False
