,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf,xray_class,is_coincident
4750,6.426429633333333,37.79524444444444,26.24031111111112,29.17842222222222,65.83082222222222,75.94118888888889,-0.01009132666666667,0.00015302862111111112,1698.6644444444446,20.6434,2.824856666666667,874834433333.3334,5.039652222222222,1.6338301111111114e+22,155.81385555555556,3335718888888.8887,4.741352222222223e+21,72.03765555555556,1367.8821444444445,19.273730000000004,B,False
4754,64.53159159663866,410.80999999999995,33.0589243697479,36.51211764705883,81.85887394957982,85.37465546218488,0.0027649058823529414,-0.002661894789915966,4065.106722689075,27.135705882352937,3.668839495798319,4137208151260.5044,14.09390756302521,1.280435294117647e+23,766.6434453781513,15894411764705.883,1.5884554621848738e+22,51.121638655462185,213.47210084033608,6.851140336134453,C,False
4756,153.00457142857144,938.8473949579833,35.760260504201675,35.04145378151261,83.8718319327731,87.90167226890757,-0.1630666682352941,0.0033347361344537815,7364.281512605043,30.28482352941176,4.039710084033613,7308529411764.706,20.336294117647057,4.504295798319328e+23,1443.3689075630257,29912243697478.992,3.1225117647058822e+22,43.968672268907575,5178.881512605042,3.164540588235295,C,False
4757,38.76913176103896,65.22781467532468,51.77266233766234,76.93914285714285,125.47754545454544,125.73494805194804,0.17936825285714283,-0.012756982025974027,4156.618961038961,39.433376623376624,2.931454545454546,1437452401298.7014,33.073818181818176,1.4679370808701298e+22,163.0723102285714,3288319372077.922,1.487128651168831e+21,57.68885714285714,390.06740259740263,13.131246753246753,C,False
4763,334.66386554621846,328.69747899159665,50.30336134453782,75.79159663865545,116.0672268907563,125.11764705882354,0.14003860504201684,0.030903361344537812,9304.20168067227,40.5873949579832,4.234201680672269,13204201680672.27,38.658823529411755,1.33781512605042e+23,862.6302521008404,14432773109243.697,7.278151260504202e+21,100.74705882352941,9145.378151260504,10.560840336134456,M,False
4764,110.98392436974788,698.9805882352941,47.41129411764706,57.315462184873965,106.63302521008401,107.2806722689076,0.4460310756302521,0.007436247899159664,7147.784033613446,38.246310924369745,3.5458882352941172,3981037226890.7563,34.318285714285715,1.4521100840336136e+23,726.7891596638656,16063151260504.201,8.77386218487395e+21,39.581647058823535,677.4993277310925,4.515242857142858,C,False
4766,80.11125462184874,167.13907563025214,51.046159663865545,80.53357983193277,126.99764705882352,129.10747899159662,-0.04759109327731093,-0.011145739243697479,5496.9394957983195,39.38375630252101,3.178658823529411,2524763193277.311,33.492621848739496,4.596760504201681e+22,390.23000000000013,7933650420168.067,3.508452100840336e+21,114.13091596638655,1933.9999159663864,19.188591596638656,C,False
4767,105.1550924369748,552.0587394957984,47.858983193277304,66.89834453781513,112.31655462184874,115.42571428571428,0.11046954537815126,-0.005366191596638655,7119.390756302521,38.86352100840336,3.684720168067227,3728403193277.311,33.38911764705882,1.8618983193277312e+23,1004.6014285714285,20587319327731.094,1.3092773109243696e+22,176.56781512605045,5449.777310924371,15.67410924369748,C,False
4769,100.74603361344539,301.10159663865545,34.311882352941176,45.47358823529411,110.50193277310923,109.84605042016807,-0.09469416806722689,-0.009229203361344536,4165.657983193278,28.5055294117647,3.1369033613445376,1798788235294.1177,15.193285714285713,6.0654638655462196e+22,454.1301680672269,9510983193277.31,6.872059663865545e+21,4.882336134453782,0.0,0.89848487394958,B,False
4770,61.498639999999995,39.59838554216868,38.076481927710844,59.58626506024096,121.51906024096385,130.50895180722893,-0.09365802409638556,-0.02066298879518072,3688.6542168674696,29.099277108433732,3.013285542168675,2385950000000.0,14.503598795180723,1.3826860240963858e+22,160.2832168674699,3001703493975.904,1.8068890361445784e+21,11.804855421686748,23.87578313253012,5.103665060240964,C,False
