,Unnamed: 0,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf,xray_class,is_coincident
5424,5424,30.332587796610174,481.85101694915255,35.71661016949153,53.046491525423725,102.22271186440678,104.51574576271187,-0.22532135593220334,-0.0011234675762711863,4763.033898305085,29.667949152542374,3.9970084745762713,2597493728813.559,15.283932203389831,1.4496203389830509e+23,1032.3208474576272,19201983050847.453,1.671479661016949e+22,160.2791525423729,3443.0898305084747,18.38515254237288,C,False
5425,5425,30.56381016949153,261.1081355932204,38.17716949152543,33.44183050847457,65.1991694915254,69.38176271186441,-0.18640744067796614,-0.0017483996610169492,5932.216949152542,31.180050847457622,3.5617949152542376,1968303389830.5083,24.125440677966104,1.3632661016949152e+23,520.9108474576271,10507483050847.457,1.1627677966101696e+22,21.127474576271187,0.0,2.948927118644067,C,False
5427,5427,130.07942372881357,230.91711864406776,31.396508474576283,42.55228813559323,107.41601694915256,109.82123728813559,-0.06841458644067798,-0.011575825423728812,2477.3881355932213,26.93189830508474,3.536901694915254,6837050847457.628,11.157396610169489,3.7212898305084735e+22,450.63627118644064,9502328813559.322,7.10913559322034e+21,5.5182542372881365,0.0,3.2344915254237288,C,False
5430,5430,28.310518181818185,413.28409090909105,57.96359090909091,70.11318181818181,102.18459090909094,109.03090909090908,0.08929101363636366,-0.001603520909090909,9031.08181818182,48.51663636363637,4.096872727272727,2144050909090.9087,51.54990909090909,2.089390909090909e+23,988.5895454545455,20968681818181.816,9.8027e+21,146.70818181818183,7669.8499999999985,11.784454545454548,C,False
5431,5431,94.53137288135592,778.5462711864408,53.131322033898314,54.22128813559323,85.2643050847458,93.90886440677968,-0.05808275593220339,-0.003217777966101695,13104.42372881356,46.47403389830508,4.424555932203389,2460465932203.3896,51.031491525423725,5.168283050847457e+23,1360.8033898305086,28149152542372.887,2.0897355932203393e+22,215.88474576271182,10448.962711864408,12.362457627118642,C,False
5436,5436,13.98797627118644,433.13728813559334,57.42810169491525,65.34459322033898,98.38210169491524,98.82788135593219,0.0046535359322033894,-0.0006571165762711863,11204.271186440676,45.917,3.4688084745762717,1046413220338.9829,51.480881355932205,1.8717915254237287e+23,546.4950847457627,12478711864406.78,7.759401694915255e+21,351.7757627118644,1394.5518644067795,32.10377966101695,C,False
5438,5438,41.603677966101706,221.45322033898307,41.179406779661015,30.781559322033896,53.7662033898305,68.23032203389832,-0.16023913847457624,-0.005850598305084745,6196.579661016949,34.51894915254237,3.663996610169492,1267932542372.881,28.68501694915254,6.08733220338983e+22,222.8020338983051,3751950847457.627,5.633069491525424e+21,23.37538983050848,137.6443813559322,13.123749152542374,B,False
5439,5439,219.0677966101695,345.42372881355936,49.444067796610156,30.20338983050848,54.36271186440678,66.97966101694914,-0.4774237288135593,0.012980677966101695,10766.271186440676,42.64067796610169,3.8771186440677967,7806440677966.103,42.66610169491525,2.3428813559322042e+23,548.4745762711865,8669661016949.152,1.1292542372881354e+22,403.64406779661016,6773.728813559323,44.279661016949156,M,False
5441,5441,255.90711864406785,2510.761016949152,40.502338983050855,61.387542372881356,120.73847457627122,122.0393220338983,0.4773535593220339,-0.00458957966101695,4758.852542372882,31.632694915254234,4.259825423728814,13796949152542.373,20.04454237288136,3.5493e+23,2906.8,61099949152542.38,3.4775135593220343e+22,1755.150847457627,7030.666101694915,122.91508474576271,C,False
5442,5442,338.1216949152542,2514.566101694915,39.347728813559314,61.94522033898305,124.9313559322034,125.58728813559324,0.43915,-0.006308638983050847,4711.588135593221,30.64915254237288,4.189962711864406,13618776271186.44,18.796525423728816,3.3591915254237295e+23,2749.745762711864,57852983050847.46,3.360966101694916e+22,1783.6559322033895,6512.70508474576,141.24610169491527,C,False
