,time_start,time_peak,time_end,nar,xray_class
214,2020-11-27 22:36:00,2020-11-27 22:50:00,2020-11-27 22:56:00,12786,B
215,2013-04-01 23:36:00,2013-04-01 23:49:00,2013-04-01 23:58:00,11704,B
216,2013-07-26 04:24:00,2013-07-26 04:37:00,2013-07-26 04:42:00,11800,B
217,2013-05-30 12:48:00,2013-05-30 13:03:00,2013-05-30 13:08:00,11757,B
218,2021-09-08 15:00:00,2021-09-08 15:11:00,2021-09-08 15:29:00,12866,B
219,2010-07-26 15:00:00,2010-07-26 15:10:00,2010-07-26 15:15:00,11089,B
220,2016-06-11 13:24:00,2016-06-11 13:28:00,2016-06-11 13:32:00,12554,B
221,2017-08-21 09:48:00,2017-08-21 09:51:00,2017-08-21 09:54:00,12671,B
222,2010-11-13 16:00:00,2010-11-13 16:06:00,2010-11-13 16:13:00,11124,B
223,2016-01-23 00:48:00,2016-01-23 00:57:00,2016-01-23 01:04:00,12487,B
224,2020-12-27 15:00:00,2020-12-27 15:07:00,2020-12-27 15:11:00,12795,B
225,2016-08-05 04:24:00,2016-08-05 04:34:00,2016-08-05 04:36:00,12572,B
226,2011-07-14 00:48:00,2011-07-14 00:52:00,2011-07-14 00:56:00,11254,B
227,2010-10-24 12:12:00,2010-10-24 12:20:00,2010-10-24 12:23:00,11117,B
228,2021-07-03 21:12:00,2021-07-03 21:24:00,2021-07-03 21:28:00,12835,B
229,2020-10-27 08:36:00,2020-10-27 08:49:00,2020-10-27 09:04:00,12778,B
230,2010-09-26 09:12:00,2010-09-26 09:26:00,2010-09-26 09:33:00,11109,B
231,2010-12-12 18:36:00,2010-12-12 18:49:00,2010-12-12 18:54:00,11135,B
232,2017-08-16 23:48:00,2017-08-17 00:03:00,2017-08-17 00:08:00,12671,B
233,2017-09-26 13:36:00,2017-09-26 13:45:00,2017-09-26 13:49:00,12683,B
234,2012-08-22 16:48:00,2012-08-22 16:58:00,2012-08-22 17:08:00,11548,B
235,2011-01-27 12:12:00,2011-01-27 12:18:00,2011-01-27 12:26:00,11149,B
236,2017-04-28 17:00:00,2017-04-28 17:12:00,2017-04-28 17:15:00,12653,B
237,2021-02-23 10:12:00,2021-02-23 10:24:00,2021-02-23 10:30:00,12804,B
238,2010-11-17 00:24:00,2010-11-17 00:40:00,2010-11-17 00:47:00,11124,B
239,2012-09-24 09:36:00,2012-09-24 09:49:00,2012-09-24 09:54:00,11575,B
240,2021-09-06 16:48:00,2021-09-06 17:01:00,2021-09-06 17:05:00,12863,B
241,2016-03-06 12:24:00,2016-03-06 13:07:00,2016-03-06 13:14:00,12512,B
242,2021-07-28 21:00:00,2021-07-28 21:14:00,2021-07-28 21:20:00,12846,B
243,2018-02-14 08:12:00,2018-02-14 08:25:00,2018-02-14 08:27:00,12699,B
244,2012-11-20 17:36:00,2012-11-20 17:43:00,2012-11-20 17:47:00,11618,B
245,2020-08-03 08:24:00,2020-08-03 08:39:00,2020-08-03 08:46:00,12770,B
246,2017-04-10 18:12:00,2017-04-10 18:23:00,2017-04-10 18:28:00,12650,B
247,2010-05-04 04:36:00,2010-05-04 04:46:00,2010-05-04 04:49:00,11068,B
248,2021-05-21 22:00:00,2021-05-21 22:15:00,2021-05-21 22:19:00,12824,B
249,2010-07-21 16:36:00,2010-07-21 16:45:00,2010-07-21 16:47:00,11089,B
250,2011-05-26 16:36:00,2011-05-26 16:54:00,2011-05-26 17:11:00,11226,B
251,2021-06-02 05:48:00,2021-06-02 06:06:00,2021-06-02 06:13:00,12827,B
252,2013-01-19 08:36:00,2013-01-19 09:00:00,2013-01-19 09:08:00,11654,B
253,2021-01-20 10:00:00,2021-01-20 10:11:00,2021-01-20 10:23:00,12798,B
254,2011-08-28 13:48:00,2011-08-28 14:00:00,2011-08-28 14:04:00,11281,B
255,2021-07-16 16:00:00,2021-07-16 16:14:00,2021-07-16 16:19:00,12843,B
256,2016-04-13 17:24:00,2016-04-13 17:34:00,2016-04-13 17:40:00,12529,B
257,2016-05-14 00:48:00,2016-05-14 00:54:00,2016-05-14 00:56:00,12543,B
258,2015-08-19 12:12:00,2015-08-19 12:17:00,2015-08-19 12:19:00,12403,B
259,2012-02-19 18:48:00,2012-02-19 19:00:00,2012-02-19 19:02:00,11422,B
260,2013-05-30 05:00:00,2013-05-30 05:12:00,2013-05-30 05:18:00,11760,B
