,time_start,time_peak,time_end,nar,xray_class
175,2011-03-11 02:24:00.0,2011-03-11 02:29:00.0,2011-03-11 02:36:00.0,11166,C2.8
176,2015-12-31 17:19:00.0,2015-12-31 17:25:00.0,2015-12-31 17:28:00.0,12473,C1.4
177,2020-11-07 02:37:00.0,2020-11-07 02:47:00.0,2020-11-07 02:58:00.0,12781,B4.0
178,2012-03-16 07:46:00.0,2012-03-16 07:50:00.0,2012-03-16 07:53:00.0,11433,B5.5
179,2014-09-18 21:11:00.0,2014-09-18 21:19:00.0,2014-09-18 21:30:00.0,12158,C1.0
180,2021-04-29 19:41:00.0,2021-04-29 19:54:00.0,2021-04-29 20:02:00.0,12820,B1.4
181,2021-07-09 02:40:00.0,2021-07-09 02:44:00.0,2021-07-09 02:49:00.0,12840,B1.8
182,2012-11-10 04:22:00.0,2012-11-10 05:04:00.0,2012-11-10 05:47:00.0,11608,C2.0
183,2016-03-15 20:37:00.0,2016-03-15 20:40:00.0,2016-03-15 20:48:00.0,12521,B5.2
184,2015-08-07 18:53:00.0,2015-08-07 19:10:00.0,2015-08-07 19:24:00.0,12396,C3.4
185,2014-02-02 20:03:00.0,2014-02-02 20:07:00.0,2014-02-02 20:10:00.0,11968,C4.5
186,2012-12-15 09:52:00.0,2012-12-15 09:56:00.0,2012-12-15 09:59:00.0,11633,B6.2
187,2021-01-20 12:35:00.0,2021-01-20 12:53:00.0,2021-01-20 12:59:00.0,12798,C1.4
188,2014-06-12 04:51:00.0,2014-06-12 05:07:00.0,2014-06-12 05:20:00.0,12087,C4.5
189,2013-04-06 23:31:00.0,2013-04-06 23:36:00.0,2013-04-06 23:47:00.0,11718,C1.0
190,2021-01-01 14:59:00.0,2021-01-01 15:04:00.0,2021-01-01 15:08:00.0,12795,B1.9
191,2016-02-17 01:03:00.0,2016-02-17 01:10:00.0,2016-02-17 01:14:00.0,12497,C1.4
192,2017-05-29 09:30:00.0,2017-05-29 09:34:00.0,2017-05-29 09:37:00.0,12659,B2.3
193,2013-12-24 16:45:00.0,2013-12-24 16:55:00.0,2013-12-24 17:07:00.0,11936,C1.5
194,2015-06-26 20:07:00.0,2015-06-26 20:10:00.0,2015-06-26 20:13:00.0,12371,B6.1
195,2013-11-23 15:48:00.0,2013-11-23 15:56:00.0,2013-11-23 16:04:00.0,11905,C2.2
196,2011-03-24 15:31:00.0,2011-03-24 15:37:00.0,2011-03-24 15:42:00.0,11176,C1.6
197,2017-01-21 14:08:00.0,2017-01-21 14:11:00.0,2017-01-21 14:13:00.0,12628,B5.1
198,2020-11-16 00:03:00.0,2020-11-16 00:09:00.0,2020-11-16 00:14:00.0,12781,B1.7
199,2013-11-21 20:44:00.0,2013-11-21 20:51:00.0,2013-11-21 21:02:00.0,11905,C1.1
200,2013-07-07 12:05:00.0,2013-07-07 12:13:00.0,2013-07-07 12:20:00.0,11785,C1.7
201,2013-10-23 11:11:00.0,2013-10-23 11:17:00.0,2013-10-23 11:21:00.0,11875,C6.5
202,2018-06-20 00:00:00.0,2018-06-20 00:06:00.0,2018-06-20 00:11:00.0,12714,B1.8
203,2015-01-26 06:08:00.0,2015-01-26 06:27:00.0,2015-01-26 06:49:00.0,12271,C1.8
204,2011-03-08 09:32:00.0,2011-03-08 09:35:00.0,2011-03-08 09:39:00.0,11170,C4.7
205,2021-04-23 08:03:00.0,2021-04-23 08:16:00.0,2021-04-23 08:29:00.0,12816,B6.3
206,2015-11-02 00:45:00.0,2015-11-02 00:50:00.0,2015-11-02 01:02:00.0,12445,C6.3
207,2015-04-12 15:11:00.0,2015-04-12 15:15:00.0,2015-04-12 15:20:00.0,12321,C1.3
