,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX,,,Hour,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX,,,,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
23,0.306203065,0.753095363,0.859744052,0.578965372,0.906185579,0.045216393,0.213880706,,,23,0.396844574,0.020460076,0.026199526,0.108013583,0.167948795,0.951676288,0.966830366,,,23,0.032704089,0.001352058,0.002052681,0.00835166,0.011721012,0.09299806,0.072179603
24,0.314279865,0.791755587,0.875049092,0.682690025,0.81968989,0,0.226957389,,,,12.13440224,15.13254588,12.76356673,12.93318755,14.3288645,10.23329186,13.39478635,,,,,,,,,,
25,0.391599227,0.773290622,0.812971022,0.861340433,0.737142498,0.039832565,0.296563888,,,,,,,,,,,,,,,,,,,,
26,0.64394569,0.795384207,0.817107506,0.70424314,0.568564008,0.124239378,0.316482271,,,,,,,,,,,,,,,,,,,,
27,0.459696712,0.782276558,0.813789533,0.715256055,0.752836658,0.087284366,0.287096736,,,,,,,,,,,,,,,,,,,,
28,0.402762886,0.766758063,0.79888507,0.714245034,0.685088626,0.113499749,0.380801693,,,,,,,,,,,,,,,,,,,,
29,0.442431177,0.777468282,0.81597162,0.860349013,0.784056466,0.17701793,0.40927957,,,,,,,,,,,,,,,,,,,,
30,0.313288441,0.751955618,0.758790825,0.748732029,0.667430325,0.148098496,0.390827905,,,,,,,,,,,,,,,,,,,,
31,0.446426129,0.768960813,0.72749524,0.715562427,0.772446708,0.133656571,0.451226962,,,,,,,,,,,,,,,,,,,,
32,0.282566611,0.706030934,0.769975886,0.797188753,0.722975853,0.088940597,0.459697124,,,,,,,,,,,,,,,,,,,,
33,0.385736787,0.667164541,0.744585437,0.744142638,0.755457497,0.174818445,0.467330551,,,,,,,,,,,,,,,,,,,,
34,0.393694484,0.658297816,0.758951903,0.749012286,0.625226239,0.142723353,0.475473378,,,,,,,,,,,,,,,,,,,,
35,0.370196993,0.644968472,0.727753627,0.548113138,0.69767028,0.137026493,0.452653439,,,,,,,,,,,,,,,,,,,,
36,0.339450713,0.635330857,0.761818674,0.672182674,0.484934722,0.176082569,0.455371222,,,,,,,,,,,,,,,,,,,,
37,0.401301555,0.63694719,0.725980867,0.725949056,0.70451123,0.211541436,0.515638573,,,,,,,,,,,,,,,,,,,,
38,0.452684404,0.613262801,0.728262715,0.69254223,0.753219507,0.194721029,0.492675206,,,,,,,,,,,,,,,,,,,,
39,0.378555627,0.590722961,0.715648409,0.515986737,0.773316789,0.217584753,0.501432822,,,,,,,,,,,,,,,,,,,,
40,0.68004765,0.660845227,0.681265556,0.572905943,0.648481117,0.159165744,0.53086462,,,,,,,,,,,,,,,,,,,,
41,0.765527615,0.65646596,0.70354999,0.734398474,0.692089081,0.217798441,0.545313328,,,,,,,,,,,,,,,,,,,,
42,0.592546024,0.696143518,0.723994754,0.738474291,0.814356912,0.194501117,0.523074058,,,,,,,,,,,,,,,,,,,,
43,0.579206536,0.670756867,0.717135305,0.750620708,0.695257812,0.21293808,0.515856652,,,,,,,,,,,,,,,,,,,,
44,0.610554755,0.724499679,0.699020363,0.743946981,0.853106564,0.217456824,0.517992271,,,,,,,,,,,,,,,,,,,,
45,0.655628282,0.700291765,0.689560768,0.593898073,0.846480749,0.254923431,0.493166962,,,,,,,,,,,,,,,,,,,,
46,0.602763332,0.740562613,0.641116741,0.622155059,0.811368577,0.256253681,0.486647755,,,,,,,,,,,,,,,,,,,,
47,0.635319129,0.730577342,0.621699787,0.672960557,0.77805656,0.291776302,0.476673737,,,,,,,,,,,,,,,,,,,,
48,0.516139297,0.667796299,0.603279479,0.653050015,0.759399098,0.24153594,0.423773948,,,,,,,,,,,,,,,,,,,,
49,0.446555481,0.700459281,0.607773014,0.679984001,0.751115439,0.262558129,0.460141694,,,,,,,,,,,,,,,,,,,,
50,0.528740265,0.637929992,0.592588818,0.601841542,0.698920444,0.272331596,0.483245858,,,,,,,,,,,,,,,,,,,,
51,0.419366701,0.71191866,0.58490305,0.71175313,0.679048568,0.267830156,0.491475805,,,,,,,,,,,,,,,,,,,,
52,0.459967003,0.718153154,0.583139998,0.694603666,0.584168794,0.281308689,0.48692974,,,,,,,,,,,,,,,,,,,,
53,0.485586272,0.722954569,0.583334441,0.470411355,0.558096799,0.307389436,0.512823643,,,,,,,,,,,,,,,,,,,,
54,0.526589821,0.785212623,0.564170696,0.576670333,0.501156208,0.321118491,0.520654408,,,,,,,,,,,,,,,,,,,,
55,0.479612666,0.723501818,0.542138548,0.592429723,0.63719491,0.354788928,0.501599012,,,,,,,,,,,,,,,,,,,,
56,0.722574121,0.712900019,0.538024193,0.534330958,0.605728685,0.296111959,0.531498953,,,,,,,,,,,,,,,,,,,,
57,0.532571527,0.702498086,0.52181073,0.511740661,0.665804427,0.36186275,0.51433396,,,,,,,,,,,,,,,,,,,,
58,0.482536427,0.672839786,0.533256399,0.551259999,0.707007497,0.312529873,0.512892762,,,,,,,,,,,,,,,,,,,,
59,0.405706141,0.711346996,0.527076863,0.525606581,0.484862558,0.350312218,0.554979273,,,,,,,,,,,,,,,,,,,,
60,0.542161442,0.675905919,0.494250619,0.558568049,0.588048622,0.380684674,0.556690326,,,,,,,,,,,,,,,,,,,,
61,0.502432366,0.659886185,0.502624346,0.50906101,0.631178058,0.377686926,0.52952821,,,,,,,,,,,,,,,,,,,,
62,0.423487292,0.657655571,0.502339975,0.555360268,0.53690682,0.365704319,0.536077855,,,,,,,,,,,,,,,,,,,,
63,0.411560868,0.683209119,0.467189396,0.531892266,0.682405559,0.45877137,0.566691801,,,,,,,,,,,,,,,,,,,,
64,0.412348553,0.659098307,0.525301956,0.524113171,0.620283186,0.454054515,0.588035607,,,,,,,,,,,,,,,,,,,,
65,0.545975687,0.661263579,0.514329051,0.58819842,0.503560076,0.481117201,0.588180708,,,,,,,,,,,,,,,,,,,,
66,0.571205261,0.721591779,0.498883898,0.609678035,0.77233199,0.437041976,0.625674738,,,,,,,,,,,,,,,,,,,,
67,0.562261921,0.710187624,0.501113643,0.499336646,0.61616985,0.469251755,0.61594617,,,,,,,,,,,,,,,,,,,,
