,R_VALUE,ABSNJZH,MEANJZD,MEANGBT,MEANGAM,MEANJZH,USFLUX,,,Hour,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX,,,,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
31,0.195789171,0.204574515,0.723012377,0.72133145,0.95394634,0.701184851,0.371016077,,,,,,,,,,,,,,,,,,,,
32,0.088159776,0.114871442,0.802620576,0.76388917,0.881936603,0.640189434,0.36845541,,,,,,,,,,,,,,,,,,,,
33,0.213248918,0.216589816,0.644091424,0.752131347,0.893123041,0.776351789,0.396681455,,,,,,,,,,,,,,,,,,,,
34,0.133306955,0.182135362,0.669464568,0.773715995,0.862281816,0.742307409,0.395763713,,,,,,,,,,,,,,,,,,,,
35,0.158512992,0.218395682,0.633805715,0.750998607,0.862390705,0.657844621,0.375330998,,,,,,,,,,,,,,,,,,,,
36,0.230875623,0.12831086,0.54391689,0.877266658,0.782462453,0.57726856,0.364863832,,,,,,,,,,,,,,,,,,,,
37,0.233233856,0.271544938,0.466243017,0.776265126,0.831271902,0.82373167,0.417054033,,,,,,,,,,,,,,,,,,,,
38,0.21192087,0.127377459,0.461831841,0.790170476,0.798460414,0.854557257,0.441746628,,,,,,,,,,,,,,,,,,,,
39,0.248156514,0.193023063,0.435932206,0.704895335,0.739574739,0.778065018,0.416310502,,,,,,,,,,,,,,,,,,,,
40,0.233870104,0.400966546,0.457191241,0.653432008,0.819450717,0.787216496,0.45354357,,,,,,,,,,,,,,,,,,,,
41,0.283263466,0.335711872,0.655112585,0.653972942,0.746403897,0.72552689,0.460359602,,,,,,,,,,,,,,,,,,,,
42,0.176594733,0.214048973,0.47572688,0.700845618,0.826692133,0.846734732,0.458466152,,,,,,,,,,,,,,,,,,,,
43,0.216215163,0.348133321,0.679370726,0.667428065,0.80296841,0.691375655,0.470320518,,,,,,,,,,,,,,,,,,,,
44,0.213444607,0.36433517,0.624053692,0.628726525,0.829566619,0.995718006,0.493707564,,,,,,,,,,,,,,,,,,,,
45,0.314546135,0.445699069,0.495798082,0.610255128,0.810778301,0.882732437,0.48748595,,,,,,,,,,,,,,,,,,,,
46,0.290298396,0.401921828,0.474915827,0.580817179,0.840962924,0.872614795,0.498003902,,,,,,,,,,,,,,,,,,,,
47,0.298142996,0.348982679,0.512072354,0.578734954,0.828371544,0.948780757,0.472645751,,,,,,,,,,,,,,,,,,,,
