,TOTUSJH,TOTUSJZ,SAVNCPP,USFLUX,ABSNJZH,TOTPOT,SIZE_ACR,NACR,MEANPOT,SIZE,MEANJZH,SHRGT45,MEANSHR,MEANJZD,MEANALP,MEANGBT,MEANGAM,MEANGBZ,MEANGBH,R_VALUE,T_REC,DATE
hmi.sharp_cea_720s[377][2011.02.13_11:00:00_TAI],2334.043,42009790000000.0,25448960000000.0,1.552724e+22,765.835,4.342193e+23,1384.034668,16149,11653.06,7713.449707,0.02729568,52.844,50.345,0.12170918,0.06820059,108.529,60.444,115.967,83.151,4.735,2011.02.13_11:00:00_TAI,15018.458333333334
hmi.sharp_cea_720s[377][2011.02.13_11:12:00_TAI],2354.319,42194830000000.0,26498230000000.0,1.559499e+22,777.202,4.393316e+23,1386.752808,16181,11851.93,7729.940918,0.02784474,52.246,50.09,0.14866877,0.06861909,109.355,60.243,116.669,84.048,4.774,2011.02.13_11:12:00_TAI,15018.466666666667
hmi.sharp_cea_720s[377][2011.02.13_11:24:00_TAI],2348.711,42303490000000.0,23887390000000.0,1.574812e+22,775.502,4.466837e+23,1397.188477,16303,11925.09,7743.713379,0.02749616,52.767,50.425,0.15685858,0.06757282,108.843,60.413,116.573,83.767,4.768,2011.02.13_11:24:00_TAI,15018.475
hmi.sharp_cea_720s[377][2011.02.13_11:36:00_TAI],2359.878,42442360000000.0,24180600000000.0,1.594449e+22,767.589,4.567779e+23,1410.525269,16459,12126.21,7762.902344,0.02706304,52.687,50.45,0.22449307,0.06597008,108.802,60.28,117.765,83.381,4.732,2011.02.13_11:36:00_TAI,15018.483333333334
hmi.sharp_cea_720s[377][2011.02.13_11:48:00_TAI],2421.18,43238030000000.0,25772550000000.0,1.616206e+22,799.429,4.632033e+23,1421.815063,16591,12177.01,7791.916504,0.02791301,52.823,50.326,0.18594858,0.06758456,109.188,60.19,117.844,83.939,4.782,2011.02.13_11:48:00_TAI,15018.491666666667
hmi.sharp_cea_720s[377][2011.02.13_12:00:00_TAI],2444.939,43467510000000.0,26928130000000.0,1.633353e+22,815.914,4.68876e+23,1424.870972,16627,12283.68,7819.094238,0.02838751,52.689,50.271,0.06899423,0.06809162,109.706,59.948,117.818,84.469,4.783,2011.02.13_12:00:00_TAI,15018.5
hmi.sharp_cea_720s[377][2011.02.13_12:12:00_TAI],2457.504,44009450000000.0,23943860000000.0,1.65077e+22,782.058,4.768306e+23,1434.695801,16742,12412.61,7851.835938,0.02703836,52.347,49.991,0.26225033,0.06460156,110.389,59.91,119.158,84.81,4.749,2011.02.13_12:12:00_TAI,15018.508333333333
hmi.sharp_cea_720s[377][2011.02.13_12:24:00_TAI],2484.034,44369080000000.0,22211290000000.0,1.664958e+22,802.026,4.777793e+23,1443.839722,16849,12475.26,7875.520508,0.0278124,52.587,49.95,0.16286552,0.0653321,110.821,59.697,120.123,84.884,4.741,2011.02.13_12:24:00_TAI,15018.516666666666
hmi.sharp_cea_720s[377][2011.02.13_12:36:00_TAI],2487.363,44272080000000.0,23113910000000.0,1.675493e+22,807.445,4.788842e+23,1458.638184,17022,12485.5,7895.772461,0.02795861,52.536,49.596,0.18506618,0.06517875,110.852,59.584,120.459,85.077,4.75,2011.02.13_12:36:00_TAI,15018.525
hmi.sharp_cea_720s[377][2011.02.13_12:48:00_TAI],2469.142,43721630000000.0,19959020000000.0,1.687093e+22,763.221,4.828016e+23,1471.624512,17174,12608.58,7924.78418,0.02647224,52.457,49.4,0.23123254,0.06091818,111.522,59.453,121.371,84.859,4.78,2011.02.13_12:48:00_TAI,15018.533333333333
hmi.sharp_cea_720s[377][2011.02.13_13:00:00_TAI],2488.282,43961500000000.0,22476500000000.0,1.697389e+22,802.682,4.828993e+23,1471.168457,17169,12576.68,7939.716797,0.02776294,52.265,49.359,0.11851943,0.06354348,111.177,59.412,121.205,84.339,4.692,2011.02.13_13:00:00_TAI,15018.541666666666
hmi.sharp_cea_720s[377][2011.02.13_13:12:00_TAI],2475.084,43666240000000.0,21828340000000.0,1.706699e+22,786.596,4.863892e+23,1471.997314,17179,12660.56,7961.073242,0.02719151,52.091,49.31,0.16113774,0.06178128,111.143,59.376,120.78,84.207,4.642,2011.02.13_13:12:00_TAI,15018.55
hmi.sharp_cea_720s[377][2011.02.13_13:24:00_TAI],2475.821,43721750000000.0,21581210000000.0,1.707744e+22,793.97,4.938334e+23,1479.840332,17271,12816.67,7987.933594,0.02736602,52.525,49.504,0.1394618,0.06246442,110.417,59.642,119.83,83.718,4.737,2011.02.13_13:24:00_TAI,15018.558333333332
hmi.sharp_cea_720s[377][2011.02.13_13:36:00_TAI],2530.009,44463960000000.0,22424160000000.0,1.712576e+22,783.831,4.976195e+23,1475.956177,17226,12818.62,8000.974609,0.02681598,52.756,49.716,0.18228385,0.06164536,109.652,59.76,118.626,83.214,4.77,2011.02.13_13:36:00_TAI,15018.566666666668
hmi.sharp_cea_720s[377][2011.02.13_13:48:00_TAI],2544.122,44546880000000.0,24618470000000.0,1.726311e+22,791.164,5.017995e+23,1485.946411,17343,12811.03,8016.296875,0.02682458,52.862,49.959,0.12000766,0.06144758,108.418,59.982,118.183,82.449,4.735,2011.02.13_13:48:00_TAI,15018.575
hmi.sharp_cea_720s[377][2011.02.13_14:00:00_TAI],2575.372,44819850000000.0,26280620000000.0,1.742542e+22,790.906,5.098315e+23,1498.157959,17486,13063.93,8044.438477,0.0269153,52.876,49.919,0.09912507,0.06064697,110.305,59.751,119.75,83.372,4.728,2011.02.13_14:00:00_TAI,15018.583333333334
hmi.sharp_cea_720s[377][2011.02.13_14:12:00_TAI],2560.514,44474260000000.0,23755510000000.0,1.752332e+22,791.04,5.12114e+23,1499.928589,17507,13097.9,8075.556641,0.02687137,52.614,49.724,0.07052701,0.060051,110.377,59.733,119.313,83.362,4.724,2011.02.13_14:12:00_TAI,15018.591666666667
hmi.sharp_cea_720s[377][2011.02.13_14:24:00_TAI],2544.894,44927270000000.0,25278040000000.0,1.773504e+22,778.979,5.183792e+23,1520.113281,17743,13016.74,8091.821289,0.02597722,53.18,49.849,0.12344048,0.05868922,109.838,59.704,118.486,82.787,4.715,2011.02.13_14:24:00_TAI,15018.6
hmi.sharp_cea_720s[377][2011.02.13_14:36:00_TAI],2589.651,45473600000000.0,25024950000000.0,1.787029e+22,768.875,5.239102e+23,1523.848511,17787,12986.29,8112.541992,0.0253111,53.414,49.829,0.16136181,0.05775681,107.793,59.716,117.169,81.651,4.728,2011.02.13_14:36:00_TAI,15018.608333333334
hmi.sharp_cea_720s[377][2011.02.13_14:48:00_TAI],2570.03,45501950000000.0,26731300000000.0,1.794666e+22,791.425,5.32154e+23,1534.437622,17911,13214.99,8134.978027,0.02610242,53.156,49.89,0.07393195,0.05913107,108.337,59.633,117.081,82.367,4.754,2011.02.13_14:48:00_TAI,15018.616666666667
hmi.sharp_cea_720s[377][2011.02.13_15:00:00_TAI],2618.039,45981000000000.0,25352910000000.0,1.799376e+22,770.706,5.373279e+23,1552.657593,18124,13341.28,8154.193848,0.02541321,53.672,49.981,0.14902641,0.05736162,108.084,59.751,116.848,82.298,4.767,2011.02.13_15:00:00_TAI,15018.625
hmi.sharp_cea_720s[377][2011.02.13_15:12:00_TAI],2618.011,45489580000000.0,23897410000000.0,1.808106e+22,768.832,5.418687e+23,1565.72522,18277,13498.09,8195.449219,0.02543526,53.212,49.725,0.09120185,0.05699049,107.955,59.616,117.13,82.095,4.796,2011.02.13_15:12:00_TAI,15018.633333333333
hmi.sharp_cea_720s[377][2011.02.13_15:24:00_TAI],2625.943,45328410000000.0,25296360000000.0,1.818027e+22,779.949,5.430149e+23,1568.788818,18313,13389.33,8234.920898,0.02554029,53.062,49.783,0.08085378,0.05775878,106.545,59.614,115.72,80.759,4.832,2011.02.13_15:24:00_TAI,15018.641666666666
hmi.sharp_cea_720s[377][2011.02.13_15:36:00_TAI],2636.506,45550880000000.0,28012210000000.0,1.821412e+22,803.756,5.503764e+23,1572.862671,18361,13520.37,8252.196289,0.02622454,53.716,50.004,0.09695359,0.05969175,105.65,59.738,114.789,80.323,4.839,2011.02.13_15:36:00_TAI,15018.65
hmi.sharp_cea_720s[377][2011.02.13_15:48:00_TAI],2636.089,45343810000000.0,27151460000000.0,1.830218e+22,778.648,5.539051e+23,1570.005127,18328,13580.91,8277.476562,0.02535404,53.59,49.915,0.02714317,0.05780376,105.652,59.561,114.509,80.307,4.812,2011.02.13_15:48:00_TAI,15018.658333333333
hmi.sharp_cea_720s[377][2011.02.13_16:00:00_TAI],2614.279,45222600000000.0,27750700000000.0,1.832882e+22,762.412,5.606964e+23,1577.427856,18415,13638.18,8300.020508,0.02462889,53.884,50.07,0.02807156,0.05674304,104.49,59.848,113.204,79.665,4.756,2011.02.13_16:00:00_TAI,15018.666666666666
hmi.sharp_cea_720s[377][2011.02.13_16:12:00_TAI],2606.618,45371450000000.0,27376840000000.0,1.839193e+22,758.906,5.640579e+23,1596.329956,18636,13769.32,8320.428711,0.02460385,53.624,49.942,-0.00891974,0.05625166,104.899,59.781,113.532,80.469,4.773,2011.02.13_16:12:00_TAI,15018.675
hmi.sharp_cea_720s[377][2011.02.13_16:24:00_TAI],2576.332,44484130000000.0,27520020000000.0,1.83702e+22,770.561,5.638451e+23,1598.18689,18658,13825.08,8331.849609,0.02509235,54.126,50.131,0.03877306,0.05704338,103.969,59.936,112.432,79.559,4.827,2011.02.13_16:24:00_TAI,15018.683333333332
hmi.sharp_cea_720s[377][2011.02.13_16:36:00_TAI],2559.805,44136430000000.0,23875610000000.0,1.835698e+22,762.161,5.647652e+23,1599.360107,18672,13893.33,8361.350586,0.02490152,54.442,50.209,0.04492248,0.05631264,103.346,60.083,112.085,79.245,4.834,2011.02.13_16:36:00_TAI,15018.691666666668
hmi.sharp_cea_720s[377][2011.02.13_16:48:00_TAI],2576.124,44115330000000.0,22050730000000.0,1.848984e+22,744.615,5.669966e+23,1603.881592,18725,13907.33,8381.298828,0.02425694,54.223,50.179,0.03967822,0.05434114,103.548,60.118,112.55,78.984,4.84,2011.02.13_16:48:00_TAI,15018.7
hmi.sharp_cea_720s[377][2011.02.13_17:00:00_TAI],2590.583,44613560000000.0,22904310000000.0,1.852739e+22,748.276,5.693503e+23,1606.079224,18751,14049.27,8406.754883,0.02452239,54.783,50.258,0.00320796,0.05418534,104.141,60.079,113.192,79.902,4.863,2011.02.13_17:00:00_TAI,15018.708333333334
hmi.sharp_cea_720s[377][2011.02.13_17:12:00_TAI],2624.992,45295350000000.0,20366850000000.0,1.863133e+22,737.994,5.750937e+23,1618.391724,18895,14186.34,8419.919922,0.02417751,54.85,50.408,0.01185279,0.05288832,104.591,60.149,113.452,79.945,4.835,2011.02.13_17:12:00_TAI,15018.716666666667
hmi.sharp_cea_720s[377][2011.02.13_17:24:00_TAI],2627.275,45529300000000.0,19789300000000.0,1.879846e+22,736.12,5.793296e+23,1621.28418,18929,14077.77,8434.720703,0.02375576,55.601,50.653,0.01359574,0.05185017,104.174,60.309,112.614,79.392,4.803,2011.02.13_17:24:00_TAI,15018.725
hmi.sharp_cea_720s[377][2011.02.13_17:36:00_TAI],2663.838,46110290000000.0,21232840000000.0,1.886216e+22,738.506,5.849828e+23,1635.661987,19097,14204.13,8450.849609,0.02381509,55.719,50.588,0.07819653,0.05172479,104.869,60.268,113.734,79.369,4.813,2011.02.13_17:36:00_TAI,15018.733333333334
hmi.sharp_cea_720s[377][2011.02.13_17:48:00_TAI],2800.0,46761670000000.0,23569500000000.0,1.911105e+22,834.201,5.908279e+23,1643.005249,19183,14521.67,8479.253906,0.02723121,54.749,50.041,0.0221456,0.05662486,107.047,59.885,116.557,80.432,4.83,2011.02.13_17:48:00_TAI,15018.741666666667
hmi.sharp_cea_720s[377][2011.02.13_18:00:00_TAI],2790.644,46767400000000.0,21765300000000.0,1.920832e+22,840.249,5.968627e+23,1652.247681,19291,14796.05,8498.399414,0.02766344,54.281,49.822,-0.00177988,0.05614432,108.171,59.714,117.9,81.244,4.836,2011.02.13_18:00:00_TAI,15018.75
hmi.sharp_cea_720s[377][2011.02.13_18:12:00_TAI],2777.959,46811670000000.0,19939050000000.0,1.9338e+22,835.086,5.985459e+23,1654.455811,19317,14823.62,8519.458008,0.02746633,54.276,49.844,0.05323351,0.05483595,108.729,59.757,118.569,81.344,4.802,2011.02.13_18:12:00_TAI,15018.758333333333
hmi.sharp_cea_720s[377][2011.02.13_18:24:00_TAI],2771.664,46783270000000.0,18417330000000.0,1.946048e+22,803.443,6.033343e+23,1658.392212,19363,14802.96,8528.604492,0.02617931,54.881,50.118,0.01315173,0.05226541,108.077,59.917,118.318,80.51,4.861,2011.02.13_18:24:00_TAI,15018.766666666666
hmi.sharp_cea_720s[377][2011.02.13_18:36:00_TAI],2810.551,47302930000000.0,17250360000000.0,1.957462e+22,800.519,6.075135e+23,1669.426147,19492,14898.22,8556.023438,0.02607129,54.415,50.028,0.021643,0.05163699,108.706,59.829,119.211,80.711,4.83,2011.02.13_18:36:00_TAI,15018.775
hmi.sharp_cea_720s[377][2011.02.13_18:48:00_TAI],2791.764,47845680000000.0,16600150000000.0,1.963196e+22,780.401,6.12203e+23,1673.702759,19542,14991.74,8574.493164,0.02537971,54.522,50.127,0.02587157,0.05014438,108.935,59.765,119.365,81.11,4.862,2011.02.13_18:48:00_TAI,15018.783333333333
hmi.sharp_cea_720s[377][2011.02.13_19:00:00_TAI],2828.17,48099430000000.0,17000800000000.0,1.979491e+22,747.127,6.189459e+23,1689.45813,19726,15048.21,8586.979492,0.02412422,54.16,49.923,0.06169583,0.04757755,108.316,59.688,119.944,80.477,4.841,2011.02.13_19:00:00_TAI,15018.791666666666
hmi.sharp_cea_720s[377][2011.02.13_19:12:00_TAI],2826.315,47524480000000.0,17016590000000.0,1.990503e+22,742.15,6.247655e+23,1705.21582,19910,15204.43,8606.329102,0.02398752,54.229,49.957,0.05149916,0.04687248,107.981,59.497,120.691,79.913,4.883,2011.02.13_19:12:00_TAI,15018.8
hmi.sharp_cea_720s[377][2011.02.13_19:24:00_TAI],2862.261,48168380000000.0,16059810000000.0,2.008763e+22,765.957,6.290512e+23,1710.783936,19975,15139.91,8624.149414,0.02448319,54.158,49.749,0.05875839,0.04781679,108.086,59.474,120.814,79.665,4.851,2011.02.13_19:24:00_TAI,15018.808333333332
hmi.sharp_cea_720s[377][2011.02.13_19:36:00_TAI],2853.822,47928490000000.0,16374380000000.0,2.023328e+22,771.497,6.324085e+23,1716.261963,20039,15011.52,8634.324219,0.02432057,54.029,49.925,0.01305178,0.0478813,107.445,59.473,120.619,78.707,4.852,2011.02.13_19:36:00_TAI,15018.816666666668
hmi.sharp_cea_720s[377][2011.02.13_19:48:00_TAI],2877.73,48664020000000.0,16328480000000.0,2.037865e+22,765.942,6.390792e+23,1725.867065,20151,14896.56,8648.262695,0.02371117,54.532,50.162,0.02868781,0.04726982,106.707,59.599,119.083,78.486,4.843,2011.02.13_19:48:00_TAI,15018.825
hmi.sharp_cea_720s[377][2011.02.13_20:00:00_TAI],2825.173,48217870000000.0,19836530000000.0,2.044286e+22,848.241,6.415829e+23,1720.650879,20090,14796.44,8672.371094,0.02598062,54.864,50.368,-0.01033544,0.05234531,105.929,59.766,117.832,77.854,4.818,2011.02.13_20:00:00_TAI,15018.833333333334
hmi.sharp_cea_720s[377][2011.02.13_20:12:00_TAI],2781.367,48045330000000.0,16948130000000.0,2.047552e+22,803.888,6.438016e+23,1716.029663,20036,14656.38,8690.291016,0.02430428,55.391,50.693,0.08988915,0.04986831,104.57,59.928,115.978,76.874,4.789,2011.02.13_20:12:00_TAI,15018.841666666667
hmi.sharp_cea_720s[377][2011.02.13_20:24:00_TAI],2761.524,47392430000000.0,15158910000000.0,2.044366e+22,796.951,6.480491e+23,1728.968628,20187,14770.49,8707.964844,0.0241237,55.937,50.808,0.09226248,0.04965305,103.515,60.057,115.131,76.74,4.83,2011.02.13_20:24:00_TAI,15018.85
hmi.sharp_cea_720s[377][2011.02.13_20:36:00_TAI],2794.022,47953340000000.0,15768580000000.0,2.046935e+22,784.884,6.52818e+23,1741.152954,20329,14697.67,8723.151367,0.02347001,56.167,51.098,0.09146237,0.04914543,102.574,60.206,113.951,76.502,4.858,2011.02.13_20:36:00_TAI,15018.858333333334
hmi.sharp_cea_720s[377][2011.02.13_20:48:00_TAI],2764.546,47333850000000.0,17791020000000.0,2.038781e+22,781.503,6.52437e+23,1746.988037,20397,14787.69,8763.460938,0.02352438,55.824,50.97,0.08057553,0.04940482,102.362,60.138,113.516,76.22,4.871,2011.02.13_20:48:00_TAI,15018.866666666667
hmi.sharp_cea_720s[377][2011.02.13_21:00:00_TAI],2726.081,46672990000000.0,16302270000000.0,2.033423e+22,795.21,6.518227e+23,1736.473267,20274,14749.35,8789.686523,0.02389669,56.141,50.943,0.05838563,0.05061899,101.521,60.14,112.598,75.754,4.848,2011.02.13_21:00:00_TAI,15018.875
hmi.sharp_cea_720s[377][2011.02.13_21:12:00_TAI],2703.547,46440470000000.0,14323820000000.0,2.033781e+22,780.578,6.559226e+23,1741.977295,20338,14714.33,8805.644531,0.0232557,56.563,51.236,0.06334239,0.05000811,100.544,60.276,111.333,75.299,4.89,2011.02.13_21:12:00_TAI,15018.883333333333
hmi.sharp_cea_720s[377][2011.02.13_21:24:00_TAI],2672.784,46330630000000.0,15214290000000.0,2.032228e+22,794.612,6.5706e+23,1744.821533,20371,14818.87,8819.438477,0.02380146,56.414,51.16,0.06150979,0.05101023,101.014,60.216,111.186,75.614,4.841,2011.02.13_21:24:00_TAI,15018.891666666666
hmi.sharp_cea_720s[377][2011.02.13_21:36:00_TAI],2694.785,46198220000000.0,14270110000000.0,2.044994e+22,782.055,6.623626e+23,1751.693726,20451,14917.91,8831.530273,0.02339311,56.534,51.195,0.12782525,0.04991698,101.122,60.141,111.432,75.698,4.862,2011.02.13_21:36:00_TAI,15018.9
hmi.sharp_cea_720s[377][2011.02.13_21:48:00_TAI],2720.084,46657320000000.0,14490990000000.0,2.056549e+22,783.251,6.654129e+23,1757.639893,20520,14961.55,8854.410156,0.0233897,56.857,51.204,0.10953101,0.04954906,101.722,60.166,111.751,76.081,4.855,2011.02.13_21:48:00_TAI,15018.908333333333
hmi.sharp_cea_720s[377][2011.02.13_22:00:00_TAI],2722.327,46652480000000.0,15112490000000.0,2.064e+22,802.115,6.680138e+23,1757.756714,20521,14961.5,8868.530273,0.02385827,56.868,51.259,0.11228786,0.05042339,101.898,60.203,111.646,75.754,4.902,2011.02.13_22:00:00_TAI,15018.916666666666
hmi.sharp_cea_720s[377][2011.02.13_22:12:00_TAI],2774.492,47236080000000.0,12783260000000.0,2.079336e+22,772.09,6.721367e+23,1755.812866,20498,15096.95,8881.682617,0.02303235,57.01,51.024,0.12346346,0.04796537,102.844,60.035,112.573,76.881,4.812,2011.02.13_22:12:00_TAI,15018.925
hmi.sharp_cea_720s[377][2011.02.13_22:24:00_TAI],2791.773,47249550000000.0,14604510000000.0,2.09619e+22,770.64,6.746508e+23,1764.842163,20603,15112.4,8904.216797,0.02292684,56.891,50.795,0.16059947,0.04726367,103.185,59.951,113.313,76.473,4.802,2011.02.13_22:24:00_TAI,15018.933333333332
hmi.sharp_cea_720s[377][2011.02.13_22:36:00_TAI],2773.039,47149930000000.0,14910490000000.0,2.107573e+22,788.956,6.795187e+23,1772.838745,20696,15172.7,8914.305664,0.02339588,57.032,50.815,0.08095295,0.0479531,103.549,60.038,113.443,76.467,4.753,2011.02.13_22:36:00_TAI,15018.941666666668
hmi.sharp_cea_720s[377][2011.02.13_22:48:00_TAI],2826.94,47666150000000.0,14697670000000.0,2.118889e+22,787.593,6.795703e+23,1779.9021,20778,15199.09,8932.405273,0.0233943,56.506,50.709,0.1755776,0.04732018,104.457,60.069,114.47,77.06,4.782,2011.02.13_22:48:00_TAI,15018.95
hmi.sharp_cea_720s[377][2011.02.13_23:00:00_TAI],2866.879,48521420000000.0,13595850000000.0,2.133212e+22,768.896,6.855676e+23,1780.628296,20786,15169.21,8942.375977,0.02259466,56.963,50.841,0.09383214,0.04569638,104.143,60.236,114.61,76.554,4.804,2011.02.13_23:00:00_TAI,15018.958333333334
hmi.sharp_cea_720s[377][2011.02.13_23:12:00_TAI],2895.203,48346640000000.0,12916270000000.0,2.14516e+22,754.651,6.883109e+23,1781.870117,20800,15357.62,8961.521484,0.022362,56.086,50.638,0.1995142,0.04441111,105.571,60.039,115.938,77.241,4.817,2011.02.13_23:12:00_TAI,15018.966666666667
hmi.sharp_cea_720s[377][2011.02.13_23:24:00_TAI],2877.864,47665350000000.0,13283400000000.0,2.14612e+22,766.604,6.884396e+23,1784.562744,20831,15529.38,8973.87207,0.02296802,55.846,50.505,0.13511898,0.04489379,105.994,59.976,116.705,77.294,4.821,2011.02.13_23:24:00_TAI,15018.975
hmi.sharp_cea_720s[377][2011.02.13_23:36:00_TAI],2914.794,48457360000000.0,14524970000000.0,2.160333e+22,779.549,6.893947e+23,1791.204834,20908,15432.11,8986.694336,0.02317465,55.559,50.38,0.1111418,0.04529818,106.203,59.946,116.31,77.662,4.84,2011.02.13_23:36:00_TAI,15018.983333333334
hmi.sharp_cea_720s[377][2011.02.13_23:48:00_TAI],2913.251,48247450000000.0,15349730000000.0,2.16872e+22,772.105,6.902058e+23,1790.901855,20904,15528.75,8997.688477,0.02307064,55.447,50.307,0.10192025,0.04451451,106.521,59.808,116.925,77.534,4.806,2011.02.13_23:48:00_TAI,15018.991666666667
hmi.sharp_cea_720s[377][2011.02.14_00:00:00_TAI],2909.133,48734750000000.0,13714690000000.0,2.175196e+22,760.731,6.925912e+23,1793.006104,20928,15539.7,9011.808594,0.02266982,55.411,50.417,0.12002037,0.0436406,106.683,59.894,116.915,77.532,4.77,2011.02.14_00:00:00_TAI,15019.0
hmi.sharp_cea_720s[377][2011.02.14_00:12:00_TAI],2940.978,48964500000000.0,14685060000000.0,2.18464e+22,761.943,6.953576e+23,1792.205566,20918,15587.37,9023.744141,0.02268362,55.527,50.541,0.1587339,0.04351574,107.18,59.82,117.399,77.551,4.803,2011.02.14_00:12:00_TAI,15019.008333333333
hmi.sharp_cea_720s[377][2011.02.14_00:24:00_TAI],2943.101,49040910000000.0,14098130000000.0,2.194398e+22,750.669,6.940181e+23,1796.875122,20972,15474.88,9040.410156,0.02222953,55.567,50.406,0.09634968,0.04277056,106.922,59.673,117.378,76.819,4.83,2011.02.14_00:24:00_TAI,15019.016666666666
hmi.sharp_cea_720s[377][2011.02.14_00:36:00_TAI],2964.736,49154890000000.0,11561060000000.0,2.193095e+22,738.783,6.937284e+23,1809.171509,21115,15622.0,9055.111328,0.0220941,55.105,50.327,0.08585461,0.04198698,108.019,59.597,118.289,77.781,4.849,2011.02.14_00:36:00_TAI,15019.025
hmi.sharp_cea_720s[377][2011.02.14_00:48:00_TAI],2946.289,49321580000000.0,10056660000000.0,2.207574e+22,737.489,6.96409e+23,1804.682129,21062,15523.14,9090.416016,0.02183212,55.152,50.405,0.11430795,0.04168734,108.546,59.536,118.313,78.037,4.855,2011.02.14_00:48:00_TAI,15019.033333333333
hmi.sharp_cea_720s[377][2011.02.14_01:00:00_TAI],2926.99,49502740000000.0,11465480000000.0,2.209139e+22,735.386,6.974534e+23,1801.992676,21030,15513.8,9100.448242,0.02172484,55.232,50.229,0.18329568,0.04152976,108.51,59.555,118.241,78.013,4.885,2011.02.14_01:00:00_TAI,15019.041666666666
hmi.sharp_cea_720s[377][2011.02.14_01:12:00_TAI],2914.858,49098980000000.0,10478790000000.0,2.212212e+22,732.056,6.953736e+23,1804.351807,21057,15431.53,9135.210938,0.02157549,55.253,50.385,0.11528007,0.04126952,107.709,59.673,117.644,77.821,4.827,2011.02.14_01:12:00_TAI,15019.05
hmi.sharp_cea_720s[377][2011.02.14_01:24:00_TAI],2893.002,48683690000000.0,11288790000000.0,2.215716e+22,751.45,6.939647e+23,1815.973389,21192,15538.57,9136.851562,0.02234664,54.399,49.979,0.1587076,0.04228702,108.075,59.374,118.008,77.959,4.88,2011.02.14_01:24:00_TAI,15019.058333333332
hmi.sharp_cea_720s[377][2011.02.14_01:36:00_TAI],2887.519,48960810000000.0,12752790000000.0,2.222252e+22,764.512,7.016926e+23,1820.47583,21244,15505.5,9146.168945,0.02243548,55.106,50.289,0.10999575,0.04296181,106.273,59.714,116.568,77.035,4.831,2011.02.14_01:36:00_TAI,15019.066666666668
hmi.sharp_cea_720s[377][2011.02.14_01:48:00_TAI],2922.304,49798410000000.0,13440820000000.0,2.234685e+22,764.136,7.014759e+23,1829.606201,21350,15348.92,9153.000977,0.0222055,55.174,50.356,0.11124371,0.04269577,106.293,59.703,116.17,77.032,4.807,2011.02.14_01:48:00_TAI,15019.075
hmi.sharp_cea_720s[377][2011.02.14_02:00:00_TAI],2975.118,50329220000000.0,12261480000000.0,2.246101e+22,745.287,7.077275e+23,1835.237915,21415,15533.1,9157.764648,0.02172406,54.882,50.329,0.10488009,0.04141339,107.736,59.541,117.582,77.983,4.805,2011.02.14_02:00:00_TAI,15019.083333333334
hmi.sharp_cea_720s[377][2011.02.14_02:12:00_TAI],2982.62,50636810000000.0,13696720000000.0,2.247738e+22,769.268,7.14359e+23,1837.598511,21442,15759.03,9164.681641,0.0225387,54.821,50.44,0.13980854,0.04257916,107.869,59.598,117.634,78.456,4.806,2011.02.14_02:12:00_TAI,15019.091666666667
hmi.sharp_cea_720s[377][2011.02.14_02:24:00_TAI],2959.035,49920820000000.0,15390480000000.0,2.246281e+22,796.417,7.136896e+23,1839.273193,21461,15681.32,9170.226562,0.02323949,55.433,50.601,0.18103687,0.04399003,106.485,59.828,115.901,77.285,4.776,2011.02.14_02:24:00_TAI,15019.1
hmi.sharp_cea_720s[377][2011.02.14_02:36:00_TAI],2975.311,50533860000000.0,17568690000000.0,2.254796e+22,833.256,7.182141e+23,1837.533813,21440,15720.19,9187.326172,0.02422186,55.593,50.497,0.14170572,0.04583937,106.648,59.809,115.693,77.846,4.849,2011.02.14_02:36:00_TAI,15019.108333333334
hmi.sharp_cea_720s[377][2011.02.14_02:48:00_TAI],2962.896,50521760000000.0,14167250000000.0,2.268175e+22,807.486,7.263204e+23,1848.892578,21572,15735.24,9202.294922,0.02323299,55.865,50.519,0.14921485,0.0442081,105.729,59.849,115.35,77.209,4.869,2011.02.14_02:48:00_TAI,15019.116666666667
hmi.sharp_cea_720s[377][2011.02.14_03:00:00_TAI],2970.879,50491690000000.0,15406460000000.0,2.278735e+22,823.002,7.319992e+23,1856.751709,21663,15748.62,9232.332031,0.02351567,55.842,50.635,0.14140384,0.04478647,105.359,59.948,115.132,76.979,4.844,2011.02.14_03:00:00_TAI,15019.125
hmi.sharp_cea_720s[377][2011.02.14_03:12:00_TAI],2954.411,49582350000000.0,15420730000000.0,2.283808e+22,838.578,7.328371e+23,1866.917236,21781,15709.64,9240.130859,0.02387412,56.092,50.621,0.11559857,0.04557281,103.985,59.983,114.562,75.615,4.84,2011.02.14_03:12:00_TAI,15019.133333333333
hmi.sharp_cea_720s[377][2011.02.14_03:24:00_TAI],2949.643,49678390000000.0,17887340000000.0,2.285415e+22,847.996,7.388841e+23,1868.167969,21795,15814.51,9255.552734,0.02410381,56.363,50.859,0.1009441,0.04608896,103.286,60.104,113.806,75.668,4.86,2011.02.14_03:24:00_TAI,15019.141666666666
hmi.sharp_cea_720s[377][2011.02.14_03:36:00_TAI],2922.481,49648280000000.0,17887370000000.0,2.289265e+22,829.883,7.421839e+23,1871.895996,21838,15832.03,9261.162109,0.02351076,56.608,50.918,0.05841704,0.04502147,103.238,60.195,113.529,75.677,4.864,2011.02.14_03:36:00_TAI,15019.15
